policy,k,bmax,total_waves,wave_index,measurement_phase,start_request,stop_request,wave_batch_size,is_full_wave,is_partial_wave,prompt_tokens,generated_tokens,prefill_wall_seconds,decode_wall_seconds,e2e_wall_seconds,prefill_prompt_tokens_per_second,decode_tokens_per_second,e2e_total_tokens_per_second,prefill_expert_h2d_fetches,decode_expert_h2d_fetches
permanent_k,80,2,100,53,steady_state,106,108,2,True,False,8192,256,1.257489583978895,25.103833133995067,26.361322717973962,6514.566883392562,10.197645858844176,320.46950338496833,2129,24876
permanent_k,80,2,100,54,steady_state,108,110,2,True,False,8192,256,1.1842704190057702,22.9680592980003,24.15232971700607,6917.3390372086,11.14591340428525,349.77992181233014,1710,3208
permanent_k,80,2,100,55,steady_state,110,112,2,True,False,8192,256,1.2139187550055794,24.915448523999657,26.129367279005237,6748.392317212652,10.274749810480415,323.31437304981773,2053,14828
permanent_k,80,2,100,56,steady_state,112,114,2,True,False,8192,256,1.2300783629762009,24.186575153958984,25.416653516935185,6659.738311451379,10.584384038270775,332.3804998313832,2009,12775
permanent_k,80,2,100,57,steady_state,114,116,2,True,False,8192,256,1.236393817991484,23.86698610597523,25.103379923966713,6625.720608428685,10.726113421413901,336.52838883000453,2104,10872
permanent_k,80,2,100,58,steady_state,116,118,2,True,False,8192,256,1.230995438003447,24.707967079011723,25.93896251701517,6654.776896075761,10.361030479818803,325.6876598074564,2029,11023
permanent_k,80,2,100,59,steady_state,118,120,2,True,False,8192,256,1.2067695540026762,23.601843359007034,24.80861291300971,6788.371460672294,10.846610415381145,340.5268980423264,1778,5963
permanent_k,80,2,100,60,steady_state,120,122,2,True,False,8192,256,1.243940701999236,24.373484543000814,25.61742524500005,6585.522916674393,10.503217114826283,329.7755304916469,2042,15337
permanent_k,80,2,100,61,steady_state,122,124,2,True,False,8192,256,1.2696243349928409,25.16650375496829,26.43612808996113,6452.302286759645,10.172251278625117,319.5626822222899,2175,18002
permanent_k,80,2,100,62,steady_state,124,126,2,True,False,8192,256,1.2481329180300236,25.211860496958252,26.459993414988276,6563.403529913906,10.153951154492773,319.27445587399984,2057,17098
permanent_k,80,2,100,63,steady_state,126,128,2,True,False,8192,256,1.1623649470275268,23.565240294963587,24.727605241991114,7047.700484214619,10.863458076203571,341.64246465945894,1735,4138
permanent_k,80,2,100,64,steady_state,128,130,2,True,False,8192,256,1.2524333270266652,25.880300374992657,27.132733702019323,6540.867144958676,9.891693538741341,311.35823219210926,2046,27001
permanent_k,80,2,100,65,steady_state,130,132,2,True,False,8192,256,1.2744354180176742,24.9132837660145,26.187719184032176,6427.94439340228,10.275642601126025,322.5939586655994,2187,10179
permanent_k,80,2,100,66,steady_state,132,134,2,True,False,8192,256,1.1763347879750654,23.868413620977663,25.044748408952728,6964.003856505555,10.725471917203775,337.3162254239336,1816,4526
permanent_k,80,2,100,67,steady_state,134,136,2,True,False,8192,256,1.184632019023411,23.58357250096742,24.76820451999083,6915.227571472647,10.855013590052934,341.0824548538219,1676,12480
permanent_k,80,2,100,68,steady_state,136,138,2,True,False,8192,256,1.179064572963398,23.023444317979738,24.202508890943136,6947.880708018107,11.119100881012901,349.054721478125,1669,7467
permanent_k,80,2,100,69,steady_state,138,140,2,True,False,8192,256,1.2173054690356366,23.879950391943567,25.097255860979203,6729.617346161926,10.72029027691646,336.6105062161322,1964,5291
permanent_k,80,2,100,70,steady_state,140,142,2,True,False,8192,256,1.2701211550156586,23.788341688981745,25.058462843997404,6449.77840708354,10.761574024244563,337.13161308390727,1884,9701
permanent_k,80,2,100,71,steady_state,142,144,2,True,False,8192,256,1.2801084849634208,25.216198136971798,26.49630662193522,6399.457621151607,10.152204492105998,318.8368900066337,2192,16929
permanent_k,80,2,100,72,steady_state,144,146,2,True,False,8192,256,1.2190891730133444,24.121923816972412,25.341012989985757,6719.770941571908,10.612752197645031,333.37262418587903,1983,9302
permanent_k,80,2,100,73,steady_state,146,148,2,True,False,8192,256,1.2631946089677513,25.48328612500336,26.74648073397111,6485.144839791774,10.045800166597088,315.8546383737905,2190,32631
permanent_k,80,2,100,74,steady_state,148,150,2,True,False,8192,256,1.2378762469743378,25.19021293503465,26.42808918200899,6617.785921672853,10.162677094481966,319.659886941467,1993,16209
permanent_k,80,2,100,75,steady_state,150,152,2,True,False,8192,256,1.20125017297687,24.1349772309768,25.33622740395367,6819.561973255787,10.60701228553175,333.4355926518762,1820,10800
permanent_k,80,2,100,76,steady_state,152,154,2,True,False,8192,256,1.1754480800009333,24.03950439597247,25.214952475973405,6969.257204447087,10.649138009803966,335.03929892589935,1840,4416
permanent_k,80,2,100,77,steady_state,154,156,2,True,False,8192,256,1.168733712984249,23.89713285700418,25.06586656998843,7009.295538401572,10.712582196862463,337.0320342371431,1683,3636
permanent_k,80,2,100,78,steady_state,156,158,2,True,False,8192,256,1.2425755279837176,25.125718171009794,26.36829369899351,6592.758199006915,10.188763491559591,320.38478092052134,2020,17294
permanent_k,80,2,100,79,steady_state,158,160,2,True,False,8192,256,1.2161296790000051,24.34504594700411,25.561175626004115,6736.12373865926,10.515486417946287,330.50123060089646,1976,5993
