policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
permanent_k,2,50,20,716192,13297,702895,702895,126,702769,0,0.018566250390956614,6633349447680,0.018566250390956607
permanent_k,2,50,21,701005,13307,687698,687698,126,687572,0,0.01898274620009843,6489932562432,0.018982746200098433
permanent_k,2,50,22,710745,13284,697461,697461,126,697335,0,0.018690247557140747,6582067789824,0.01869024755714077
permanent_k,2,50,23,710831,13203,697628,697628,126,697502,0,0.01857403517854455,6583643799552,0.0185740351785445
permanent_k,2,50,24,702926,13311,689615,689615,126,689489,0,0.018936559467141633,6508023644160,0.018936559467141678
permanent_k,2,50,25,690120,13308,676812,676812,126,676686,0,0.019283602851677968,6387199377408,0.01928360285167796
permanent_k,2,50,26,705241,13305,691936,691936,126,691810,0,0.018865891234344005,6529927348224,0.018865891234344012
permanent_k,2,50,27,714223,13311,700912,700912,126,700786,0,0.01863703633178993,6614635511808,0.018637036331789925
permanent_k,2,50,28,683455,13311,670144,670144,126,670018,0,0.01947604450914837,6324272234496,0.019476044509148416
permanent_k,2,50,29,698769,13305,685464,685464,126,685338,0,0.0190406271600486,6468849893376,0.019040627160048618
permanent_k,2,50,30,698061,13311,684750,684750,126,684624,0,0.019068534125241204,6462111744000,0.019068534125241232
permanent_k,2,50,31,707311,13293,694018,694018,126,693892,0,0.018793713090846882,6549575565312,0.018793713090846875
permanent_k,2,50,32,723102,13303,709799,709799,126,709673,0,0.018397127929393086,6698503766016,0.018397127929393076
permanent_k,2,50,33,711496,13302,698194,698194,126,698068,0,0.018695818388297335,6588985245696,0.01869581838829737
permanent_k,2,50,34,709443,13263,696180,696180,126,696054,0,0.018694948008508083,6569978757120,0.018694948008508128
permanent_k,2,50,35,717922,13138,704784,704784,126,704658,0,0.018300038165706023,6651176288256,0.018300038165706023
permanent_k,2,50,36,707052,13300,693752,693752,126,693626,0,0.018810497672024123,6547065274368,0.01881049767202414
permanent_k,2,50,37,693096,13296,679800,679800,126,679674,0,0.019183489733023997,6415397683200,0.019183489733023973
permanent_k,2,50,38,703325,13303,690022,690022,126,689896,0,0.01891444211424306,6511864578048,0.01891444211424309
permanent_k,2,50,39,708552,13303,695249,695249,126,695123,0,0.018774909957208503,6561192738816,0.01877490995720854
permanent_k,2,50,40,690803,13312,677491,677491,126,677365,0,0.019270327430540978,6393607225344,0.019270327430541023
permanent_k,2,50,41,672413,13301,659112,659112,126,658986,0,0.01978099769040753,6220161220608,0.01978099769040753
permanent_k,2,50,42,663643,13305,650338,650338,125,650213,0,0.020048429652689773,6137359368192,0.020048429652689825
permanent_k,2,50,43,663285,13302,649983,649983,123,649860,0,0.02005472760578032,6134009167872,0.02005472760578031
permanent_k,2,50,44,668264,13301,654963,654963,124,654839,0,0.01990381047011361,6181006344192,0.01990381047011358
permanent_k,2,50,45,660612,13256,647356,647356,126,647230,0,0.020066241606268128,6109217685504,0.02006624160626813
permanent_k,2,50,46,677243,13307,663936,663936,124,663812,0,0.019648781899554518,6265686196224,0.019648781899554546
permanent_k,2,50,47,671844,13305,658539,658539,119,658420,0,0.019803704431385856,6214753714176,0.019803704431385905
quota_lru_k,2,50,0,750647,0,750647,750647,128,750519,750645,0.0,7083993858048,0.0
quota_lru_k,2,50,1,750519,0,750519,750519,128,750391,750517,0.0,7082785898496,0.0
quota_lru_k,2,50,2,695582,0,695582,695582,128,695454,695580,0.0,6564335321088,0.0
quota_lru_k,2,50,3,731407,0,731407,731407,128,731279,731405,0.0,6902422437888,0.0
quota_lru_k,2,50,4,707788,0,707788,707788,128,707660,707786,0.0,6679525588992,0.0
quota_lru_k,2,50,5,713851,0,713851,713851,128,713723,713849,0.0,6736743235584,0.0
quota_lru_k,2,50,6,711032,0,711032,711032,128,710904,711030,0.0,6710139813888,0.0
quota_lru_k,2,50,7,710291,0,710291,710291,128,710163,710289,0.0,6703146860544,0.0
quota_lru_k,2,50,8,731917,0,731917,731917,128,731789,731915,0.0,6907235401728,0.0
quota_lru_k,2,50,9,716962,0,716962,716962,128,716834,716960,0.0,6766102315008,0.0
quota_lru_k,2,50,10,715058,0,715058,715058,128,714930,715056,0.0,6748133916672,0.0
quota_lru_k,2,50,11,723738,0,723738,723738,128,723610,723736,0.0,6830048673792,0.0
quota_lru_k,2,50,12,702847,0,702847,702847,128,702719,702845,0.0,6632896462848,0.0
quota_lru_k,2,50,13,691573,0,691573,691573,128,691445,691571,0.0,6526501650432,0.0
quota_lru_k,2,50,14,696640,0,696640,696640,128,696512,696638,0.0,6574319861760,0.0
quota_lru_k,2,50,15,710387,0,710387,710387,128,710259,710385,0.0,6704052830208,0.0
quota_lru_k,2,50,16,677709,0,677709,677709,128,677581,677707,0.0,6395664531456,0.0
quota_lru_k,2,50,17,668368,0,668368,668368,128,668240,668366,0.0,6307511795712,0.0
quota_lru_k,2,50,18,696935,0,696935,696935,128,696807,696933,0.0,6577103831040,0.0
quota_lru_k,2,50,19,706924,0,706924,706924,128,706796,706922,0.0,6671371862016,0.0
quota_lru_k,2,50,20,716192,0,716192,716192,128,716064,716190,0.0,6758835683328,0.0
quota_lru_k,2,50,21,701005,0,701005,701005,128,700877,701003,0.0,6615513169920,0.0
quota_lru_k,2,50,22,710745,0,710745,710745,128,710617,710743,0.0,6707431342080,0.0
quota_lru_k,2,50,23,710831,0,710831,710831,128,710703,710829,0.0,6708242939904,0.0
quota_lru_k,2,50,24,702926,0,702926,702926,128,702798,702924,0.0,6633642000384,0.0
quota_lru_k,2,50,25,690120,0,690120,690120,128,689992,690118,0.0,6512789422080,0.0
quota_lru_k,2,50,26,705241,0,705241,705241,128,705113,705239,0.0,6655489081344,0.0
quota_lru_k,2,50,27,714223,0,714223,714223,128,714095,714221,0.0,6740253868032,0.0
quota_lru_k,2,50,28,683455,0,683455,683455,128,683327,683453,0.0,6449890590720,0.0
quota_lru_k,2,50,29,698769,0,698769,698769,128,698641,698767,0.0,6594411626496,0.0
quota_lru_k,2,50,30,698061,0,698061,698061,128,697933,698059,0.0,6587730100224,0.0
quota_lru_k,2,50,31,707311,0,707311,707311,128,707183,707309,0.0,6675024052224,0.0
quota_lru_k,2,50,32,723102,0,723102,723102,128,722974,723100,0.0,6824046624768,0.0
quota_lru_k,2,50,33,711496,0,711496,711496,128,711368,711494,0.0,6714518667264,0.0
quota_lru_k,2,50,34,709443,0,709443,709443,128,709315,709441,0.0,6695144128512,0.0
quota_lru_k,2,50,35,717922,0,717922,717922,128,717794,717920,0.0,6775162011648,0.0
quota_lru_k,2,50,36,707052,0,707052,707052,128,706924,707050,0.0,6672579821568,0.0
quota_lru_k,2,50,37,693096,0,693096,693096,128,692968,693094,0.0,6540874481664,0.0
quota_lru_k,2,50,38,703325,0,703325,703325,128,703197,703323,0.0,6637407436800,0.0
quota_lru_k,2,50,39,708552,0,708552,708552,128,708424,708550,0.0,6686735597568,0.0
quota_lru_k,2,50,40,690803,0,690803,690803,128,690675,690801,0.0,6519235018752,0.0
quota_lru_k,2,50,41,672413,0,672413,672413,128,672285,672411,0.0,6345685204992,0.0
quota_lru_k,2,50,42,663643,0,663643,663643,127,663516,663641,0.0,6262921101312,0.0
quota_lru_k,2,50,43,663285,0,663285,663285,125,663160,663283,0.0,6259542589440,0.0
quota_lru_k,2,50,44,668264,0,668264,668264,126,668138,668262,0.0,6306530328576,0.0
quota_lru_k,2,50,45,660612,0,660612,660612,128,660484,660610,0.0,6234316996608,0.0
quota_lru_k,2,50,46,677243,0,677243,677243,126,677117,677241,0.0,6391266803712,0.0
quota_lru_k,2,50,47,671844,0,671844,671844,121,671723,671842,0.0,6340315447296,0.0
permanent_k,4,50,0,750647,26504,724143,724143,124,724019,0,0.03530820745303718,6833870733312,0.0353082074530372
permanent_k,4,50,1,750519,26517,724002,724002,124,723878,0,0.03533155056700763,6832540090368,0.03533155056700765
permanent_k,4,50,2,695582,26485,669097,669097,124,668973,0,0.0380760284193668,6314391502848,0.03807602841936686
permanent_k,4,50,3,731407,26485,704922,704922,124,704798,0,0.0362110288799533,6652478619648,0.03621102887995331
permanent_k,4,50,4,707788,26565,681223,681223,124,681099,0,0.03753242496340712,6428826796032,0.03753242496340714
permanent_k,4,50,5,713851,26538,687313,687313,124,687189,0,0.03717582520722112,6486299246592,0.03717582520722107
permanent_k,4,50,6,711032,26514,684518,684518,124,684394,0,0.03728946095253097,6459922317312,0.03728946095253094
permanent_k,4,50,7,710291,26524,683767,683767,124,683643,0,0.037342441337423676,6452834992128,0.037342441337423704
permanent_k,4,50,8,731917,26535,705382,705382,124,705258,0,0.03625411078032072,6656819724288,0.0362541107803207
permanent_k,4,50,9,716962,26558,690404,690404,124,690280,0,0.03704240950008508,6515469582336,0.03704240950008508
permanent_k,4,50,10,715058,26502,688556,688556,124,688432,0,0.03706272777872564,6498029666304,0.03706272777872566
permanent_k,4,50,11,723738,26540,697198,697198,124,697074,0,0.03667072891018573,6579585810432,0.036670728910185746
permanent_k,4,50,12,702847,26582,676265,676265,124,676141,0,0.03782046448231265,6382037237760,0.03782046448231269
permanent_k,4,50,13,691573,26574,664999,664999,124,664875,0,0.03842544460237748,6275717922816,0.03842544460237751
permanent_k,4,50,14,696640,26609,670031,670031,124,669907,0,0.03819619889756546,6323205832704,0.038196198897565425
permanent_k,4,50,15,710387,26575,683812,683812,124,683688,0,0.03740918682352014,6453259665408,0.037409186823520124
permanent_k,4,50,16,677709,26568,651141,651141,124,651017,0,0.039202666631253234,6144937426944,0.03920266663125327
permanent_k,4,50,17,668368,26606,641762,641762,124,641638,0,0.03980741148588801,6056426078208,0.03980741148588807
permanent_k,4,50,18,696935,26612,670323,670323,124,670199,0,0.038184335698451075,6325961490432,0.03818433569845103
permanent_k,4,50,19,706924,26576,680348,680348,124,680224,0,0.037593857331198265,6420569260032,0.037593857331198244
permanent_k,4,50,20,716192,26583,689609,689609,124,689485,0,0.03711714177203878,6507967021056,0.03711714177203873
permanent_k,4,50,21,701005,26536,674469,674469,124,674345,0,0.03785422357900443,6365088055296,0.037854223579004476
permanent_k,4,50,22,710745,26500,684245,684245,124,684121,0,0.03728482085698809,6457345966080,0.03728482085698814
permanent_k,4,50,23,710831,26470,684361,684361,124,684237,0,0.037238105822621693,6458440679424,0.03723810582262166
permanent_k,4,50,24,702926,26609,676317,676317,124,676193,0,0.03785462481114655,6382527971328,0.03785462481114654
permanent_k,4,50,25,690120,26594,663526,663526,124,663402,0,0.03853532718947429,6261816950784,0.03853532718947428
permanent_k,4,50,26,705241,26605,678636,678636,124,678512,0,0.037724692693703286,6404412801024,0.037724692693703266
permanent_k,4,50,27,714223,26605,687618,687618,124,687494,0,0.03725027057375638,6489177587712,0.037250270573756405
permanent_k,4,50,28,683455,26580,656875,656875,124,656751,0,0.03889063654520049,6199050240000,0.03889063654520053
permanent_k,4,50,29,698769,26555,672214,672214,124,672090,0,0.0380025444746404,6343807205376,0.038002544474640354
permanent_k,4,50,30,698061,26617,671444,671444,124,671320,0,0.0381299055526666,6336540573696,0.0381299055526666
