policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
quota_lru_resident_hit_first,8,40,19,780563,52777,727786,727786,128,727658,727778,727786,0,0.06761401706204367,6868250394624,0.06761401706204373
quota_lru_resident_hit_first,8,40,20,791661,53554,738107,738107,128,737979,738099,738107,0,0.06764764210943826,6965651570688,0.0676476421094383
quota_lru_resident_hit_first,8,40,21,774079,53881,720198,720198,128,720070,720190,720198,0,0.06960659054179225,6796641042432,0.0696065905417923
quota_lru_resident_hit_first,8,40,22,785935,52771,733164,733164,128,733036,733156,733164,0,0.06714422948462659,6919003570176,0.06714422948462662
quota_lru_resident_hit_first,8,40,23,785459,52776,732683,732683,128,732555,732675,732683,0,0.06719128560497747,6914464284672,0.06719128560497745
quota_lru_resident_hit_first,8,40,24,776115,52592,723523,723523,128,723395,723515,723523,0,0.06776315365635248,6828019679232,0.06776315365635244
quota_lru_resident_hit_first,8,40,25,761251,52392,708859,708859,128,708731,708851,708859,0,0.06882355491158633,6689632813056,0.06882355491158632
quota_lru_resident_hit_first,8,40,26,778850,52061,726789,726789,128,726661,726781,726789,0,0.06684342299544199,6858841522176,0.06684342299544199
quota_lru_resident_hit_first,8,40,27,786252,52369,733883,733883,128,733755,733875,733883,0,0.0666058719087519,6925788905472,0.06660587190875189
quota_lru_resident_hit_first,8,40,28,756158,56063,700095,700095,128,699967,700087,700095,0,0.07414191214005539,6606925332480,0.07414191214005539
quota_lru_resident_hit_first,8,40,29,771640,53197,718443,718443,128,718315,718435,718443,0,0.06894017935824996,6780078784512,0.06894017935824992
quota_lru_resident_hit_first,8,40,30,768942,53417,715525,715525,128,715397,715517,715525,0,0.06946817835415416,6752541081600,0.0694681783541542
quota_lru_resident_hit_first,8,40,31,779981,52199,727782,727782,128,727654,727774,727782,0,0.06692342505778986,6868212645888,0.06692342505778992
quota_lru_resident_hit_first,8,40,32,798364,52892,745472,745472,128,745344,745464,745472,0,0.06625048223617297,7035156430848,0.06625048223617303
quota_lru_resident_hit_first,8,40,33,785681,54111,731570,731570,128,731442,731562,731570,0,0.06887146310016407,6903960698880,0.06887146310016401
quota_lru_resident_hit_first,8,40,34,783716,52312,731404,731404,128,731276,731396,731404,0,0.06674866916076742,6902394126336,0.06674866916076738
quota_lru_resident_hit_first,8,40,35,794747,53477,741270,741270,128,741142,741262,741270,0,0.06728808035764841,6995501383680,0.06728808035764844
quota_lru_resident_hit_first,8,40,36,781106,53368,727738,727738,128,727610,727730,727738,0,0.06832363341211052,6867797409792,0.06832363341211056
quota_lru_resident_hit_first,8,40,37,768246,54277,713969,713969,128,713841,713961,713969,0,0.07065054683005183,6737856823296,0.07065054683005179
quota_lru_resident_hit_first,8,40,38,776922,52376,724546,724546,128,724418,724538,724546,0,0.06741474691153038,6837673918464,0.06741474691153038
quota_lru_resident_hit_first,8,40,39,783331,54270,729061,729061,128,728933,729053,729061,0,0.06928105743293704,6880282804224,0.069281057432937
quota_lru_resident_hit_first,8,40,40,764502,56271,708231,708231,128,708103,708223,708231,0,0.07360477801235314,6683706261504,0.0736047780123531
quota_lru_resident_hit_first,8,40,41,745064,54497,690567,690567,128,690439,690559,690567,0,0.0731440520545886,6517007843328,0.07314405205458863
quota_lru_resident_hit_first,8,40,42,737151,54806,682345,682345,127,682218,682337,682345,0,0.0743484035156976,6439415316480,0.0743484035156976
quota_lru_resident_hit_first,8,40,43,733987,51534,682453,682453,125,682328,682445,682453,0,0.07021105278431362,6440434532352,0.07021105278431361
quota_lru_resident_hit_first,8,40,44,739696,54398,685298,685298,126,685172,685290,685298,0,0.0735410222577924,6467283320832,0.07354102225779235
quota_lru_resident_hit_first,8,40,45,731526,53601,677925,677925,128,677797,677917,677925,0,0.07327285701396806,6397702963200,0.07327285701396802
quota_lru_resident_hit_first,8,40,46,752250,55477,696773,696773,126,696647,696765,696773,0,0.07374808906613493,6575575007232,0.07374808906613495
quota_lru_resident_hit_first,8,40,47,746547,56599,689948,689948,121,689827,689940,689948,0,0.07581438275152133,6511166226432,0.0758143827515213
quota_lru_miss_bypass,8,40,0,835525,50412,785113,785113,128,784985,0,8,785105,0.06033571706412136,7409255841792,0.06033571706412133
quota_lru_miss_bypass,8,40,1,833321,54538,778783,778783,128,778655,0,8,778775,0.06544656860921541,7349518467072,0.06544656860921538
quota_lru_miss_bypass,8,40,2,771712,53505,718207,718207,128,718079,0,8,718199,0.0693328599270194,6777851609088,0.06933285992701943
quota_lru_miss_bypass,8,40,3,812190,50301,761889,761889,128,761761,0,8,761881,0.061932552727809995,7190086680576,0.06193255272780995
quota_lru_miss_bypass,8,40,4,783878,58181,725697,725697,128,725569,0,8,725689,0.07422200903712058,6848536117248,0.07422200903712062
quota_lru_miss_bypass,8,40,5,789848,55245,734603,734603,128,734475,0,8,734595,0.06994383729527706,6932583677952,0.06994383729527709
quota_lru_miss_bypass,8,40,6,785541,58644,726897,726897,128,726769,0,8,726889,0.0746542828445619,6859860738048,0.07465428284456188
quota_lru_miss_bypass,8,40,7,785500,52801,732699,732699,128,732571,0,8,732691,0.06721960534691279,6914615279616,0.06721960534691285
quota_lru_miss_bypass,8,40,8,811106,57473,753633,753633,128,753505,0,8,753625,0.07085756978742606,7112173289472,0.07085756978742608
quota_lru_miss_bypass,8,40,9,792899,52289,740610,740610,128,740482,0,8,740602,0.0659466085844477,6989272842240,0.06594660858444767
quota_lru_miss_bypass,8,40,10,790926,55175,735751,735751,128,735623,0,8,735743,0.06976000283212336,6943417565184,0.06976000283212336
quota_lru_miss_bypass,8,40,11,802109,53726,748383,748383,128,748255,0,8,748375,0.06698092154557547,7062628073472,0.06698092154557544
quota_lru_miss_bypass,8,40,12,775408,49655,725753,725753,128,725625,0,8,725745,0.06403725522563605,6849064599552,0.06403725522563608
quota_lru_miss_bypass,8,40,13,765542,50446,715096,715096,128,714968,0,8,715088,0.06589579670351202,6748492529664,0.06589579670351198
quota_lru_miss_bypass,8,40,14,769261,59427,709834,709834,128,709706,0,8,709826,0.07725206399388504,6698834067456,0.07725206399388507
quota_lru_miss_bypass,8,40,15,783090,51231,731859,731859,128,731731,0,8,731851,0.06542159904991764,6906688045056,0.06542159904991762
quota_lru_miss_bypass,8,40,16,751494,49993,701501,701501,128,701373,0,8,701493,0.06652481590006042,6620194013184,0.06652481590006043
quota_lru_miss_bypass,8,40,17,735616,54683,680933,680933,128,680805,0,8,680925,0.07433633852444754,6426090012672,0.07433633852444754
quota_lru_miss_bypass,8,40,18,768731,59571,709160,709160,128,709032,0,8,709152,0.0774926469727382,6692473405440,0.07749264697273817
quota_lru_miss_bypass,8,40,19,780563,53078,727485,727485,128,727357,0,8,727477,0.06799963616005371,6865409802240,0.06799963616005367
quota_lru_miss_bypass,8,40,20,791661,58117,733544,733544,128,733416,0,8,733536,0.07341147284001612,6922589700096,0.07341147284001615
quota_lru_miss_bypass,8,40,21,774079,52786,721293,721293,128,721165,0,8,721285,0.06819200624225692,6806974758912,0.06819200624225696
quota_lru_miss_bypass,8,40,22,785935,54672,731263,731263,128,731135,0,8,731255,0.06956300457416963,6901063483392,0.06956300457416964
quota_lru_miss_bypass,8,40,23,785459,51369,734090,734090,128,733962,0,8,734082,0.06539997631957874,6927742402560,0.06539997631957872
quota_lru_miss_bypass,8,40,24,776115,56830,719285,719285,128,719157,0,8,719277,0.07322368463436475,6788024893440,0.0732236846343648
quota_lru_miss_bypass,8,40,25,761251,52011,709240,709240,128,709112,0,8,709232,0.06832306295820958,6693228380160,0.06832306295820956
quota_lru_miss_bypass,8,40,26,778850,58530,720320,720320,128,720192,0,8,720312,0.07514925852218014,6797792378880,0.07514925852218013
quota_lru_miss_bypass,8,40,27,786252,58611,727641,727641,128,727513,0,8,727633,0.07454480242975535,6866882002944,0.07454480242975536
quota_lru_miss_bypass,8,40,28,756158,45018,711140,711140,128,711012,0,8,711132,0.05953517651072924,6711159029760,0.05953517651072926
quota_lru_miss_bypass,8,40,29,771640,51807,719833,719833,128,719705,0,8,719825,0.06713882121196413,6793196470272,0.06713882121196413
quota_lru_miss_bypass,8,40,30,768942,52631,716311,716311,128,716183,0,8,716303,0.06844599462638275,6759958708224,0.06844599462638279
quota_lru_miss_bypass,8,40,31,779981,56352,723629,723629,128,723501,0,8,723621,0.07224791373123192,6829020020736,0.07224791373123196
quota_lru_miss_bypass,8,40,32,798364,58535,739829,739829,128,739701,0,8,739821,0.07331868671433081,6981902401536,0.07331868671433084
quota_lru_miss_bypass,8,40,33,785681,57472,728209,728209,128,728081,0,8,728201,0.07314928068770914,6872242323456,0.0731492806877091
quota_lru_miss_bypass,8,40,34,783716,58209,725507,725507,128,725379,0,8,725499,0.07427307851313486,6846743052288,0.0742730785131348
quota_lru_miss_bypass,8,40,35,794747,53697,741050,741050,128,740922,0,8,741042,0.06756489801156847,6993425203200,0.06756489801156851
quota_lru_miss_bypass,8,40,36,781106,49031,732075,732075,128,731947,0,8,732067,0.06277124999679941,6908726476800,0.0627712499967994
quota_lru_miss_bypass,8,40,37,768246,53597,714649,714649,128,714521,0,8,714641,0.06976541368259646,6744274108416,0.06976541368259648
quota_lru_miss_bypass,8,40,38,776922,55631,721291,721291,128,721163,0,8,721283,0.07160435667930629,6806955884544,0.07160435667930631
quota_lru_miss_bypass,8,40,39,783331,58312,725019,725019,128,724891,0,8,725011,0.07444107280319559,6842137706496,0.07444107280319556
